id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38585,Charming Victorian home - twin beds + breakfast,165529,Evelyne,,28804,35.65146,-82.62792,Private room,55,2,137,2019-11-11,1.24,1,64
80905,French Chic Loft,427027,Celeste,,28801,35.5974,-82.55498,Entire home/apt,765,1,102,2019-11-10,1.02,10,347
108061,"Walk downtown or UNCA, Pets OK!",320564,Lisa,,28801,35.6067,-82.55563,Entire home/apt,75,30,88,2019-10-09,0.88,2,210
155305,Cottage! BonPaul + Sharky's Hostel,746673,BonPaul,,28806,35.57972,-82.59617,Entire home/apt,107,1,227,2019-11-18,2.24,7,347
156805,"Private Room ""Ader"" at BPS Hostel",746673,BonPaul,,28806,35.57755,-82.59697,Private room,71,1,64,2019-11-02,0.64,7,345
156926,"Mixed Dorm ""Top Bunk #1"" at BPS Hostel",746673,BonPaul,,28806,35.57776,-82.595,Shared room,26,1,284,2019-11-22,2.83,7,355
160594,Historic Grove Park,769252,Elizabeth,,28801,35.61442,-82.54127,Private room,125,30,58,2015-10-19,0.57,1,365
189916,The Very Best Location Downtown,916386,Amy,,28801,35.59055,-82.55447,Private room,127,2,143,2015-08-16,1.43,1,331
209068,Terrace Cottage,1029919,Kevin,,28804,35.61856,-82.55276,Entire home/apt,134,30,53,2018-10-31,0.53,1,347
213006,Blue Gate West,1098412,Susanne,,28806,35.58345,-82.59713,Private room,59,2,136,2019-11-09,1.49,1,316
246315,Asheville Dreamer's Cabin,1292070,Annie,,28805,35.59635,-82.50655,Private room,65,3,57,2019-10-30,0.59,2,87
259576,"Private, peaceful, and free goat therapy",1362726,Julia,,28805,35.61929,-82.48114,Entire home/apt,74,2,508,2019-11-24,5.23,2,292
295496,The Fern Street Apt near Biltmore,1501882,Debbie,,28803,35.55537,-82.53539,Entire home/apt,50,28,31,2019-06-14,0.32,1,262
304379,REFOCUS COTTAGE- available April 30th,1566145,Gayle,,28804,35.64453,-82.52586,Entire home/apt,189,30,24,2019-08-03,0.26,2,365
353092,ATHENA'S LOFT:  Find yourself here!,1788071,Beth,,28806,35.58217,-82.59997,Entire home/apt,76,1,489,2019-11-17,6.42,1,344
427497,Luxurious Mountain Guest Suite Apartment,1909922,Milan,,28803,35.49111,-82.48438,Entire home/apt,125,2,34,2018-07-07,0.39,1,357
433646,Historic Arts and Craft Home,1931430,Ana,,28801,35.57771,-82.56094,Private room,115,2,96,2019-10-14,1.05,3,329
483384,"Romantic, Moroccan-Influenced Cottage",467421,Camille,,28803,35.56118,-82.57784,Entire home/apt,115,1,417,2019-11-25,6.63,1,0
495111,Walk Downtown private bath peaceful,12874214,David,,28801,35.60313,-82.55552,Private room,95,1,314,2019-11-24,3.47,3,354
498089,Urban Getaway - Perfect Location,2164379,Anne Marie,,28801,35.61115,-82.54376,Entire home/apt,47,30,129,2016-11-27,1.42,1,98
539020,Comfy/quiet West Asheville getaway,2647849,Kim,,28806,35.57318,-82.59976,Entire home/apt,100,2,185,2019-11-17,2.07,1,338
563189,The Keep is The Best!,1353021,Robyn,,28803,35.57398,-82.54488,Private room,60,2,193,2019-11-10,2.15,1,41
612660,Charming West Asheville Bungalow Monthly Rental,3039083,Chloe,,28806,35.57901,-82.58887,Entire home/apt,130,30,67,2018-09-30,0.76,2,0
621243,The birdhouse.Sweet suite! Downtown Roof top deck!,3079174,Molly,,28801,35.60418,-82.54964,Entire home/apt,118,1,60,2019-10-21,2.91,1,169
634319,Private Asheville Cabin Apartment,1202653,Jim And Jan,,28805,35.62839,-82.47989,Entire home/apt,150,3,30,2019-09-01,0.35,1,311
660702,Private Home 1 mile to downtown,3335271,Brady,,28804,35.62166,-82.55373,Entire home/apt,75,1,389,2019-11-11,8.43,1,354
674894,Lovely mountain home with a view!,614610,Linda,,28805,35.62272,-82.50285,Private room,49,2,171,2019-11-10,2.13,2,362
695196,"Private, Downtown & River Arts",3552264,Michelle,,28801,35.58037,-82.5578,Private room,49,1,907,2019-11-13,10.40,2,339
720609,City Vibe Loft,427027,Celeste,,28801,35.59823,-82.55251,Entire home/apt,309,1,76,2019-11-17,0.88,10,353
723349,#2 Blue Ridge Room at Oakland Cottage B&B,3736218,Mary,,28801,35.57436,-82.55623,Private room,171,2,5,2019-10-09,0.08,7,58
723410,Asheville Mountain Vista 3mi to Downtown Asheville,3736218,Mary,,28804,35.62859,-82.5186,Entire home/apt,350,3,5,2019-08-25,0.06,7,233
731073,New Home in Quiet Historic Montford,3803669,Jo,,28801,35.60253,-82.56904,Entire home/apt,199,2,62,2019-07-07,0.72,1,0
751963,Come Home in West Asheville!,3920284,Lauralee,,28806,35.57805,-82.58342,Entire home/apt,99,1,100,2018-10-28,1.24,1,300
840696,❤VIEWS! Luxury home near DOWNTOWN close 2 Biltmore,4390477,Michael,,28801,35.58395,-82.56161,Entire home/apt,224,2,350,2019-11-17,4.16,1,336
846221,Town and Mountain Peaceful Retreat,4418555,Bart,,28804,35.64271,-82.51219,Entire home/apt,137,2,104,2019-11-10,1.28,1,360
874008,"Sunset Cottage - year round views, 3 mi to DT AVL",3736218,Mary,,28804,35.63012,-82.5183,Entire home/apt,175,3,0,,,7,271
875735,Asheville artist  bungalow. 3 minutes to downtown,4632589,Jason,,28805,35.58617,-82.50657,Private room,65,1,104,2019-11-24,1.34,1,361
881707,West A'ville sanctuary in the trees,4664726,Jakub & Maria,,28806,35.56893,-82.59475,Entire home/apt,95,3,524,2019-11-24,7.00,1,284
942934,"""ZenShe"" Private Guest Quarters",5100332,Pat,,28806,35.57312,-82.59092,Private room,62,1,460,2019-11-18,5.63,1,172
943832,"Asheville Cottage, Walk To Town, 30 Days",5107042,Terri,,28801,35.6117,-82.57668,Entire home/apt,225,3,102,2019-11-03,1.29,1,335
971003,Montford Home 1.5 mi to DownTown,5306734,Tammy,,28801,35.60423,-82.57154,Entire home/apt,160,3,150,2019-11-17,1.87,1,152
976034,Urban Peace 5 ml from Downtown AVL,5340154,Ar,,28803,35.55544,-82.48361,Entire home/apt,145,2,163,2019-05-27,2.01,1,0
977054,The Cottage In Asheville,4302936,Anne & Joe,,28804,35.6157,-82.55594,Entire home/apt,130,30,80,2019-11-03,1.00,1,0
990426,City Centre Loft - Indoor Swing + Artist Residency,427027,Celeste,,28801,35.59858,-82.55464,Entire home/apt,355,1,62,2019-10-13,0.81,10,356
992821,Serene West Asheville Home,5452427,Izaak,,28715,35.56922,-82.64731,Entire home/apt,95,2,71,2019-11-10,0.89,2,81
1039028,The Cottage on Parkway Loop,4143638,Tim And Muffi,,28803,35.55144,-82.49132,Entire home/apt,90,2,191,2019-11-26,2.44,2,0
1066156,Blend City and Country at Lucky W Cottage,4834939,Jessica,,28804,35.6461,-82.51605,Entire home/apt,135,2,450,2019-11-11,5.60,2,333
